uri	permissions	permissionFlag
/afs/api/dealerIndex/querySparePotential	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,ADMIN,partsmanager"	TRUE
/afs/api/file/load/{keyId}	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,DATA-MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/file/upload	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,DATA-MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/headquartersIndex	"REGION-MANAGER,BUSINESS-MANAGER,ADMIN"	TRUE
/afs/api/import/log/log/list	"DATA-MANAGER,MANAGER,ADMIN"	TRUE
/afs/api/invoice/download/excel	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/invoice/list	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/invoice/type	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/invoice/order/dealer/list	"DATA-MANAGER,ADMIN,MANAGER,partsmanager"	TRUE
/afs/api/invoice/order/download/excel	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/invoice/order/region/list	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/invoice/order/upload/excel	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/marketingActivity	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/marketingActivity/export	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/marketingActivity/info	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/marketingActivity/nameQuery	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/marketingActivity/similar	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/marketingActivity/detail	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/order/download/excel	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/order/list	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/order/type	"DATA-MANAGER,ADMIN"	TRUE
/afs/api/calc		TRUE
/afs/api/role	ADMIN	TRUE
/afs/api/role/all	ADMIN	TRUE
/afs/api/role/list	ADMIN	TRUE
/afs/api/tag	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/tag/group	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/tag/group/list	"MANAGER,ADMIN,VENDORCOUPON,GROUPCOUPON"	TRUE
/afs/api/user	ADMIN	TRUE
/afs/api/user/change-pwd	ADMIN	TRUE
/afs/api/user/is-exist	ADMIN	TRUE
/afs/api/user/list	ADMIN	TRUE
/afs/api/user/me/detail	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,DATA-MANAGER,ADMIN,DEALERCOUPON,VENDORCOUPON,partsmanager,GROUPCOUPON,engineerheadman,engineer,QA"	TRUE
/afs/api/user/reset-pwd	ADMIN	TRUE
/afs/api/user/role-users	ADMIN	TRUE
/afs/api/vehicleModel	"REGION-MANAGER,BUSINESS-MANAGER,MANAGER,ADMIN"	TRUE
